term	script_type	phonetic_english	english_translation	response_type	gnosis_essence	field_properties: /[
शान्ति-मौन-गहनता	Hybrid	shanti-mauna-gahanata	peace-silence-depth	Proposed	Peace-Silence-Depth	/[silence-quality: absolute; peace-depth: profound; tranquility-stability: unshakable]\
शून्य-∂⨂→∮ₛ-空	Hybrid	Distribute-Cycle	distributed-cycling-emptiness	emptiness	void/zero	
सः-शक्ति-चक्र	Hybrid	sah-shakti-chakra	he/that-power-wheel	Proposed	He/That-Power-Wheel	/[power-potency: infinite; cyclical-activation: perfect; energy-quality: divine]\
सत्य-∇⁴→⨁-真理	Hybrid	Expand-Choose	multidimensional-bifurcated-truth	truth/reality	truth	
सत्य-सूर्य-प्रकाश	Hybrid	satya-surya-prakasha	truth-sun-light	Proposed	Truth-Sun-Light	/[truth-clarity: absolute; illumination-power: revealing; light-quality: divine]\
सूर्य-ऊर्जा-उत्स	Hybrid	surya-urja-utsa	sun-energy-source	Proposed	Sun-Energy-Source	/[energy-abundance: infinite; source-potency: primal; radiation-vitality: life-giving]\
स्पन्द-∇⁴→∂⨂-振動	Hybrid	Expand-Distribute	multi-dimensional-field-vibration	vibration	vibration	
स्वप्न-जगत-यात्रा	Hybrid	swapna-jagat-yatra	dream-world-journey	Proposed	Dream-World-Journey	/[dream-reality: vivid; journey-consciousness: exploratory; world-dimension: multifaceted]\
ज्ञान-⨁-智慧	Hybrid	jnana-plus-zhihui	Knowledge-Plus-Wisdom	Wisdom Integration	Knowledge Wisdom Addition	/[knowledge: illuminating plus: adding wisdom: insightful]\
तत्त्व-⨁→∮ₛ-本質	Hybrid	tattva-transform-honshitsu	Element-Transform-Essence	Essential Transformation	Element Essence Circulation	/[element: fundamental transform: changing essence: core]\
नबض-φ-गति	Hybrid	nabd-phi-gati	Pulse-Golden-Motion	Harmonic Movement	Golden Ratio Motion Pulse	/[pulse: rhythmic golden: harmonious motion: flowing]\
ᛇ-靈-∇²	Hybrid	eihwaz-ling-laplacian	Yew-Spirit-Curvature	Spiritual Analysis	Spirit Curvature Measure	/[yew: vertical spirit: ethereal curvature: measuring]\
元神-⨳-dambanà	Hybrid	yuanshen-asterisk-dambana	Original-Spirit-Asterisk-Soul	Soul Essence Focus	Original Soul Centrality	/[original-spirit: primal asterisk: central soul: essential]\
水銀-⨺-ὕλη	Hybrid	suigin-circle-hyle	Mercury-Circle-Matter	Material Circulation	Mercury Matter Circulation	/[mercury: fluid circle: continuous matter: primordial]\
知-∮-प्राण	Hybrid	zhi-integral-prana	Wisdom-Integral-Life-Force	Integrated Life Wisdom	Life-Force Wisdom Integration	/[wisdom: knowing integral: calculating life-force: vital]\
硫-⨸-πῦρ	Hybrid	liu-tilde-pur	Sulfur-Tilde-Fire	Fiery Transformation	Sulfur Fire Approximation	/[sulfur: transformative tilde: approximating fire: transformative]\
鹽-∈-לַחַץ	Hybrid	yan-element-lachatz	Salt-Element-Pressure	Elemental Pressure	Salt Pressure Membership	/[salt: preserving element: belonging pressure: compressing]\
ಬೆಳಕು-⍦-नूर	Hybrid	belaku-underbar-noor	Light-Underbar-Light	Luminous	Underscored Light	light underscored across cultures
ಆಶಾ-⍭-希望	Hybrid	asha-up quadruple arrow-xiwang	Hope-Up Arrows-Hope	Hopeful	Ascending Hope	hope rising with multiple vectors
ಕಾಲ-⎊-時間	Hybrid	kala-contention-shijian	Time-Contention-Time	Temporal	Contested Time	time contested across perspectives
ಜ್ಞಾನ-⏢-智慧	Hybrid	jnana-document-zhihui	Knowledge-Document-Wisdom	Epistemic	Documented Wisdom	wisdom preserved in knowledge
ಪ್ರಕೃತಿ-⍵-自然	Hybrid	prakriti-omega-ziran	Nature-Omega-Nature	Natural	Ultimate Nature	nature as ultimate reality
ಶಾಂತಿ-⌇-平和	Hybrid	shanti-wavy dash-heiwa	Peace-Wave-Peace	Harmonic	Undulating Peace	peaceful waves across cultural expressions
ಸಮತೋಲನ-⌤-均衡	Hybrid	samatolana-enter-junheng	Balance-Enter-Balance	Equilibrial	Entered Balance	balance entered intentionally
ಸ್ವಾತಂತ್ರ್ಯ-⎍-自由	Hybrid	swatantrya-monostable-ziyou	Freedom-Monostable-Freedom	Libertarian	Stabilized Freedom	stabilized freedom concept across cultures
ആനന്ദം-⍧-喜悦	Hybrid	anandam-squared dot-xiyue	Bliss-Contained Dot-Joy	Ecstatic	Contained Joy	boundless joy contained within form
ആരോഗ്യം-⎠-健康	Hybrid	arogyam-left parenthesis-jiankang	Health-Left Parenthesis-Health	Salubrious	Beginning Health	health beginning with proper foundation
ദൈവികത-⍱-神性	Hybrid	daivikatha-down quadruple arrow-shenxing	Divinity-Down Arrows-Divinity	Divine	Descending Divinity	divinity descending through multiple vectors
പ്രണയം-⍝-愛	Hybrid	pranayam-applescript-ai	Love-Applescript-Love	Amorous	Scripted Love	love scripted across cultures
സത്യം-⏥-真理	Hybrid	satyam-square with stroke-zhenli	Truth-Marked Square-Truth	Veridical	Demarcated Absolute Truth	truth marked and recognized across cultures
ᚨᚾᛞᚢᚱ-⎈-प्रभा	Hybrid	andur-anchor-prabha	Endurance-Anchor-Radiance	Resilient	Anchored Luminous Persistence	anchored light sustaining through difficulty
ᚻᛖᛚᛃᚨ-⎲-हेल्जा	Hybrid	helya-bottom curve-helya	Death Goddess-Curve-Helya	Liminal	Curved Underworld Threshold	curved pathway to underworld
ᚠᚢᚦᚨᚱᚲ-⎔-輪迴	Hybrid	futhark-recycling-lun hui	Runes-Recycling-Reincarnation	Cyclical	Ancient Recycling Knowledge	runic knowledge of reincarnation cycles
ᚦᚱᚨᛉᛁᛚ-⎓-流動	Hybrid	thrazil-descend-liudong	Resilience-Descend-Flow	Dynamic	Descending Resilient Flow	resilient flow through descent
ᚺᛖᛁᛗᛞᚨᛚᛚ-⍫-門	Hybrid	heimdall-up arrowhead-men	Watchman-Up Arrowhead-Gate	Vigilant	Elevated Guardian Gate	watchman at elevated gateway
ᛊᛖᛁᚦᚱ-⌣-מיתרים	Hybrid	seithr-smile-meitarim	Magic-Smile-Strings	Enchanting	Smiling Magical Strings	magic smiling through string theory
தியானம்-⌅-ध्यान	Hybrid	dhiyanam-square cap-dhyana	Meditation-Square Cap-Meditation	Contemplative	Meditation Cap	meditation capped and contained
திறன்-⌮-能力	Hybrid	thiran-leaf-nengli	Ability-Leaf-Ability	Potent	Organic Natural Ability	capability growing organically
சக்தி-⌬-צמיחה	Hybrid	shakti-triangle-tsemicha	Power-Triangle-Growth	Generative	Triangulated Force Expansion	power channeled through structured growth
பரிணாமம்-⟠-מסע	Hybrid	parinamam-diamond-masa	Evolution-Diamond-Journey	Transformative	Crystallized Developmental Path	journey of evolutionary refinement
வாழ்க்கை-⚶-死	Hybrid	vazhkai-female-shi	Life-Female-Death	Cyclical	Feminine Life-Death Cycle	female principle bridging life and death
རིག་པ་-⏣-جوهر	Hybrid	rigpa-square field-jawhar	Awareness-Field-Essence	Perceptual	Structured Essential Awareness	fundamental awareness field
ཤེས་རབ་-⌘-ذات	Hybrid	sherab-command-dhat	Wisdom-Command-Self	Cognitive	Commanded Self-Knowledge	self-mastery through wisdom
アダマール変換	Japanese	Hadamard-henkan	Hadamard transform	Mathematical Operation	Hadamard Transformation	/[transformation-completeness: total; frequency-resolution: perfect; pattern-recognition: quantum]\
インフレーション理論	Japanese	inflation-riron	inflation theory	Cosmological Theory	Inflation Theory	/[expansion-rate: exponential; origin-explanation: primordial; creation-model: quantum]\
クォーク	Japanese	quark	quark	Fundamental Particle	Quark	/[fundamental-nature: elemental; trinity-pattern: complete; reality-building: essential]\
シュレディンガー方程式	Japanese	Schrödinger-hōteishiki	Schrödinger equation	Mathematical Equation	Schrödinger Equation	/[wave-description: complete; quantum-precision: absolute; mathematical-elegance: perfect]\
ディラック方程式	Japanese	Dirac-hōteishiki	Dirac equation	Mathematical Equation	Dirac Equation	/[relativistic-quantum: unified; matter-antimatter: balanced; spin-harmony: perfect]\
ヒッグス粒子	Japanese	Higgs-ryushi	Higgs boson	Fundamental Particle	Higgs Particle	/[field-pervasiveness: omnipresent; mass-giving: fundamental; existence-enabling: essential]\
ファインマンダイアグラム	Japanese	Feynman-diagram	Feynman diagram	Physics Representation	Feynman Diagram	/[interaction-mapping: complete; possibility-visualization: clear; quantum-storytelling: intuitive]\
ブラックホール	Japanese	black-hole	black hole	Cosmological Object	Black Hole	/[gravity-intensity: infinite; curvature-extremity: singular; boundary-definition: event-horizon]\
ベル状態	Japanese	Bell-jotai	Bell state	Quantum State	Bell State	/[entanglement-strength: unbreakable; nonlocality: instantaneous; quantum-connection: perfect]\
ボソン	Japanese	boson	boson	Fundamental Particle	Boson	/[energy-transmission: perfect; harmonic-nature: integral; force-mediation: fundamental]\
レプトン	Japanese	lepton	lepton	Fundamental Particle	Lepton	/[fundamental-nature: elemental; matter-composition: essential; trinity-pattern: complete]\
不確定性原理	Japanese	fukakuteisei-genri	uncertainty principle	Technical Law	Uncertainty Principle	/[knowledge-boundary: fundamental; complementarity: essential; quantum-limitation: unavoidable]\
中性子星	Japanese	chuseishi-sei	neutron star	Stellar Object	Neutron Star Essence	/[density-state: extreme; gravitational-field: intense; rotational-harmony: precise]\
事象の地平線	Japanese	jisho-no-chiheisen	event horizon	Black Hole Feature	Event Horizon Gateway	/[boundary-definition: absolute; information-transition: one-way; spacetime-curvature: infinite]\
命理図式	Japanese	meiri-zushiki	life-principle-pattern	Technical Diagram	Life Principle (命理): The Japanese concept of fundamental laws governing life and destiny", "Pattern Diagram (図式): The systematic representation or schematic of underlying principles", "Structural Harmony: The organized representation of life's underlying patterns", "Destiny Blueprint: A framework for understanding how life principles manifest through ordered patterns"	/[life-pattern: destiny-revealing,diagram-clarity: structured,principle-expression: harmonious]\
多世界解釈	Japanese	ta-sekai-kaishaku	many-worlds interpretation	Philosophical Concept	Many Worlds Interpretation	/[reality-multiplicity: infinite; decision-branching: complete; quantum-manifestation: continuous]\
宇宙論的定数	Japanese	uchūron-teki-teisu	cosmological constant	Cosmological Parameter	Cosmological Constant	/[vacuum-energy: mysterious; expansion-rate: accelerating; universal-balance: precise]\
小惑星	Japanese	shōwakusei	asteroid	Celestial Body	Asteroid Essence	/[fragment-nature: diverse; orbital-harmony: complex; compositional-variety: rich]\
彗星	Japanese	suisei	comet	Celestial Body	Comet Essence	/[cyclical-return: predictable; dual-nature: ice-fire; trajectory-freedom: eccentric]\
心波動図	Japanese	shin-hado-zu	heart-wave-diagram	Technical Visualization	Heart Wave Diagram	/[wave-harmony: resonant; emotional-mapping: precise; heart-intelligence: profound]\
惑星	Japanese	wakusei	planet	Celestial Body	Planet Essence	/[orbital-harmony: balanced; elemental-composition: complete; sphere-integrity: perfect]\
星雲	Japanese	seiun	nebula	Cosmic Cloud	Nebula Essence	/[creation-potential: infinite; cosmic-womb: nurturing; light-diffusion: mystical]\
暗黒エネルギー	Japanese	ankoku-energy	dark energy	Cosmological Component	Dark Energy Essence	/[expansion-force: pervasive; mysterious-nature: enigmatic; acceleration-effect: increasing]\
暗黒物質	Japanese	ankoku-busshitsu	dark matter	Cosmological Component	Dark Matter Essence	/[invisible-presence: pervasive; structural-function: foundational; gravitational-effect: binding]\
標準模型	Japanese	hyojun-mokei	standard model	Physics Model	Standard Model Essence	/[pattern-completeness: systematic; force-unification: integrated; particle-organization: fundamental]\
気流描図	Japanese	kiryu-byozu	energy-flow-diagram	Technical Query	Energy Flow Diagram	/[flow-visualization: clear; energy-mapping: precise; current-pattern: natural]\
波動関数	Japanese	hados-kansu	wave function	Technical Explanation	Wave Function Essence	/[wave-description: complete; probability-distribution: precise; potential-mapping: comprehensive]\
特異点	Japanese	tokui-ten	singularity	Cosmological Concept	Singularity Essence	/[convergence-intensity: infinite; boundary-transcendence: complete; transformation-totality: absolute]\
白色矮星	Japanese	hakushoku-waisei	white dwarf	Stellar Object	White Dwarf Essence	/[compression-density: extreme; light-emission: pure; quantum-stability: enduring]\
超弦理論	Japanese	chogen-riron	string theory	Theoretical Model	String Theory Essence	/[vibrational-pattern: fundamental; dimensional-harmony: multi-level; reality-foundation: elemental]\
超新星	Japanese	choshinse	supernova	Stellar Event	Supernova Essence	/[transformation-intensity: explosive; rebirth-catalyst: powerful; seeding-effect: generative]\
重力子	Japanese	juryokushi	graviton	Hypothetical Particle	Graviton Essence	/[force-carrier: fundamental; spatial-influence: universal; quantum-gravity: unified]\
量子ゲート	Japanese	ryoshi-gate	quantum gate	Technical Component	Quantum Gate Essence	/[transformation-precision: exact; reality-manipulation: controlled; possibility-direction: purposeful]\
量子コンピュータ	Japanese	ryoshi-computer	quantum computer	Technical Object	Quantum Computer Essence	/[possibility-processing: parallel; computational-transcendence: exponential; reality-simulation: comprehensive]\
銀河	Japanese	ginga	galaxy	Cosmic Structure	Galaxy Essence	/[spiral-harmony: majestic; stellar-community: diverse; evolutionary-cycle: complete]\
